2015-07-29 17:33:31 : Time=298227 X=-13972.93359375 Y=9727.3779296875
2015-07-29 17:33:32 : Time=299240 X=-14017.638671875 Y=9724.7392578125
2015-07-29 17:33:33 : Time=300240 X=-13694.3955078125 Y=9723.2900390625
2015-07-29 17:33:34 : Time=301240 X=-13334.15625 Y=9587.837890625
2015-07-29 17:33:35 : Time=302276 X=-12995.037109375 Y=9380.0791015625
2015-07-29 17:33:36 : Time=303281 X=-12690.345703125 Y=9140.189453125
2015-07-29 17:33:37 : Time=304302 X=-12416.69921875 Y=8856.8759765625
2015-07-29 17:33:38 : Time=305327 X=-12128.6572265625 Y=8590.076171875
2015-07-29 17:33:39 : Time=306323 X=-11799.953125 Y=8391.04296875
2015-07-29 17:33:40 : Time=307321 X=-11486.0927734375 Y=8170.23828125
2015-07-29 17:33:41 : Time=308357 X=-11200.9267578125 Y=7890.123046875
2015-07-29 17:33:42 : Time=309377 X=-10891.884765625 Y=7646.57568359375
2015-07-29 17:33:43 : Time=310390 X=-10620.6767578125 Y=7368.49462890625
2015-07-29 17:33:44 : Time=311385 X=-10410.8662109375 Y=7046.9072265625
2015-07-29 17:33:45 : Time=312409 X=-10193.4794921875 Y=6716.89404296875
2015-07-29 17:33:46 : Time=313427 X=-10014.4541015625 Y=6367.27734375
2015-07-29 17:33:47 : Time=314416 X=-9845.560546875 Y=6025.00537109375
2015-07-29 17:33:48 : Time=315415 X=-9677.8984375 Y=5677.8369140625
2015-07-29 17:33:49 : Time=316448 X=-9513.591796875 Y=5315.03759765625
2015-07-29 17:33:50 : Time=317455 X=-9423.140625 Y=4937.84130859375
2015-07-29 17:33:51 : Time=318452 X=-9435.0576171875 Y=4553.736328125
2015-07-29 17:33:52 : Time=319466 X=-9464.0009765625 Y=4163.4853515625
2015-07-29 17:33:53 : Time=320491 X=-9498.220703125 Y=3769.63525390625
2015-07-29 17:33:54 : Time=321491 X=-9588.8330078125 Y=3394.50390625
2015-07-29 17:33:55 : Time=322470 X=-9692.0966796875 Y=3031.89794921875
2015-07-29 17:33:56 : Time=323515 X=-9849.06640625 Y=2660.41381835938
2015-07-29 17:33:57 : Time=324535 X=-10002.28125 Y=2297.81689453125
2015-07-29 17:33:58 : Time=325540 X=-10182.189453125 Y=1954.98046875
2015-07-29 17:33:59 : Time=326571 X=-10369.619140625 Y=1604.86315917969
2015-07-29 17:34:00 : Time=327566 X=-10484.111328125 Y=1245.20727539063
2015-07-29 17:34:01 : Time=328595 X=-10521.572265625 Y=850.79541015625
2015-07-29 17:34:02 : Time=329605 X=-10535.197265625 Y=461.258361816406
2015-07-29 17:34:03 : Time=330600 X=-10554.41796875 Y=77.749267578125
2015-07-29 17:34:04 : Time=331613 X=-10573.658203125 Y=-306.145294189453
2015-07-29 17:34:05 : Time=332625 X=-10575.2236328125 Y=-306.329681396484
2015-07-29 17:34:06 : Time=333623 X=-10571.6865234375 Y=-352.117767333984
2015-07-29 17:34:07 : Time=334635 X=-10571.6865234375 Y=-352.117767333984
2015-07-29 17:34:08 : Time=335661 X=-10571.6865234375 Y=-352.117767333984
2015-07-29 17:34:09 : Time=336655 X=-10549.1875 Y=-309.562683105469
2015-07-29 17:34:10 : Time=337662 X=-10537.87890625 Y=-278.864929199219
2015-07-29 17:34:11 : Time=338704 X=-10537.87890625 Y=-278.864929199219
2015-07-29 17:34:12 : Time=339712 X=-10336.0751953125 Y=-600.7158203125
